dataset_id	signature	comparison	pearson_r	pearson_pvalue	spearman_rho	spearman_pvalue	n	pearson_fdr	spearman_fdr
GSE130970	NK cells	prior_signature_vs_endotype_1	0.5334142578150989	4.948272019638018e-07	0.47852147852147847	9.365717219225612e-06	78	9.640598934812002e-07	1.7069774931814422e-05
GSE130970	Profibrotic Macrophages	prior_signature_vs_endotype_1	0.8007352641048089	1.3772232049829216e-18	0.6844168489738109	4.8987273245759634e-12	78	7.073919189230461e-18	2.2142247507083353e-11
GSE135251	B cells	prior_signature_vs_endotype_1	0.5520049086104034	1.263595764180698e-18	0.4943295347646435	1.0370332090701032e-14	216	6.7993486358294695e-18	5.094989244561811e-14
GSE135251	CD14+Monocytes	prior_signature_vs_endotype_1	0.39995114137129323	1.057490158316974e-09	0.31312351897498186	2.6813907050562954e-06	216	2.8451520926147157e-09	5.224088787437265e-06
GSE135251	CD16+Monocytes	prior_signature_vs_endotype_1	0.6620524865817261	1.284252730120983e-28	0.6720168137272413	9.756742562222053e-30	216	1.8140069812958883e-27	1.9874906817257054e-28
GSE135251	CD4 T-cell signature	prior_signature_vs_endotype_1	0.39861577371602375	1.2150832976208345e-09	0.3859071910834851	4.420950454071716e-09	216	3.1931258751431234e-09	1.1632995053980767e-08
GSE135251	CD8 T-cell signature	prior_signature_vs_endotype_1	0.3084031142132021	3.848920419151598e-06	0.3858940925707617	4.426714932045778e-09	216	6.691200113294316e-06	1.1632995053980767e-08
GSE135251	Cholangiocytes	prior_signature_vs_endotype_1	0.6965910645137195	1.0787809948082556e-32	0.6717191202562545	1.0553047867570117e-29	216	2.4380450482666575e-31	1.9874906817257054e-28
GSE135251	Endothelial cells	prior_signature_vs_endotype_1	0.6217265892911373	1.7073434892705694e-24	0.5560985484466355	6.227652406156482e-19	216	1.2861987619171622e-23	5.026605156397732e-18
GSE135251	Fibrosis signature	prior_signature_vs_endotype_1	0.44423570088180586	7.334285936623066e-12	0.3475952321413686	1.5767873349158844e-07	216	2.437571502465901e-11	3.5635393769098986e-07
GSE135251	HSC TGF-beta signature	prior_signature_vs_endotype_1	0.6574864222414495	4.049567941595188e-28	0.5973945867419235	2.777395464523575e-22	216	4.576011774002562e-27	3.1384568749116395e-21
GSE135251	Hepatocytes	prior_signature_vs_endotype_1	0.4743191424296131	1.6219794072205292e-13	0.4241512759142166	7.646805742858963e-11	216	6.545845464854278e-13	2.880296829810209e-10
