dataset_id	sample_id	signature	score
GSE48452	GSM1178981	CD8 T-cell signature	-0.49995687651336185
GSE48452	GSM1178981	Endothelial cells	0.7473609801918484
GSE48452	GSM1178981	Kupffer cells	0.41154144182139524
GSE48452	GSM1178981	Macrophages	0.4337054251905042
GSE48452	GSM1178981	Monocytes	0.3895061353413974
GSE48452	GSM1178981	NK cells	-0.11126176373159126
GSE48452	GSM1178981	CD14+Monocytes	0.14113305267816498
GSE48452	GSM1178981	CD16+Monocytes	0.3369181466647162
GSE48452	GSM1178981	Macrophages C0	0.08985241528623834
GSE48452	GSM1178981	Macrophages C1	0.7636236167060738
GSE48452	GSM1178981	Macrophages C2	0.38315630344277246
GSE48452	GSM1178981	Profibrotic Macrophages	-0.33947769795706545
GSE48452	GSM1178982	NASH signature	-0.02044672910139561
GSE48452	GSM1178982	Fibrosis signature	-0.12698594676946023
GSE48452	GSM1178982	NAFL signature	-0.6384659027059135
GSE48452	GSM1178982	Liver aging signature	0.04648653269602842
GSE48452	GSM1178982	HSC TGF-beta signature	0.8229432093986927
GSE48452	GSM1178982	Hepatocytes	1.086885757870427
GSE48452	GSM1178982	Cholangiocytes	-0.39066870924761066
GSE48452	GSM1178982	B cells	-0.6879510797260628
GSE48452	GSM1178982	CD4 T-cell signature	-1.070045720737761
GSE48452	GSM1178982	CD8 T-cell signature	-1.5257685592577113
GSE48452	GSM1178982	Endothelial cells	0.48650683845874143
GSE48452	GSM1178982	Kupffer cells	0.0014292534029999556
GSE48452	GSM1178982	Macrophages	-0.3575666599903324
GSE48452	GSM1178982	Monocytes	-0.456288322545797
GSE48452	GSM1178982	NK cells	-1.248903101767676
GSE48452	GSM1178982	CD14+Monocytes	-0.7537008162450554
GSE48452	GSM1178982	CD16+Monocytes	-0.06185039459665618
GSE48452	GSM1178982	Macrophages C0	-0.5644415431371786
GSE48452	GSM1178982	Macrophages C1	-0.16064959765100997
GSE48452	GSM1178982	Macrophages C2	-0.07868264022479449
GSE48452	GSM1178982	Profibrotic Macrophages	0.058034558494807285
GSE48452	GSM1178983	NASH signature	-0.127991159122674
GSE48452	GSM1178983	Fibrosis signature	-0.048177474550623045
GSE48452	GSM1178983	NAFL signature	-0.8825315236087768
GSE48452	GSM1178983	Liver aging signature	-0.6186531897041355
GSE48452	GSM1178983	HSC TGF-beta signature	-1.0189196659569406
GSE48452	GSM1178983	Hepatocytes	0.8210247893549593
GSE48452	GSM1178983	Cholangiocytes	0.06811511815045719
GSE48452	GSM1178983	B cells	1.8978130708012844
GSE48452	GSM1178983	CD4 T-cell signature	1.0324270509634557
GSE48452	GSM1178983	CD8 T-cell signature	0.45700790472238384
GSE48452	GSM1178983	Endothelial cells	0.32868767092965956
GSE48452	GSM1178983	Kupffer cells	-0.39818181372078604
GSE48452	GSM1178983	Macrophages	-0.26212357762318933
GSE48452	GSM1178983	Monocytes	-0.36736803703565074
GSE48452	GSM1178983	NK cells	1.0130812515213163
GSE48452	GSM1178983	CD14+Monocytes	-0.09582930311727011
GSE48452	GSM1178983	CD16+Monocytes	0.5894963473810161
GSE48452	GSM1178983	Macrophages C0	1.2848975125724058
GSE48452	GSM1178983	Macrophages C1	0.8900281890317286
GSE48452	GSM1178983	Macrophages C2	0.1090774358977098
GSE48452	GSM1178983	Profibrotic Macrophages	0.1703849396935052
GSE48452	GSM1178984	NASH signature	0.6413130675127184
GSE48452	GSM1178984	Fibrosis signature	0.5234615494972439
GSE48452	GSM1178984	NAFL signature	-0.1131297145928742
GSE48452	GSM1178984	Liver aging signature	0.4630431668300282
GSE48452	GSM1178984	HSC TGF-beta signature	0.7070634579126122
