atlas_dataset_id	gene	cell_type	n_cells	mean_expr	pct_expr
GSE115469	ITIH1	Central venous LSECs	306	0.036025967473298115	0.032679738562091505
GSE115469	ITIH1	Cholangiocytes	119	0.12246224321738011	0.15966386554621848
GSE115469	ITIH1	Erythroid Cells	93	0.3315194579221869	0.0967741935483871
GSE115469	ITIH1	Hepatic Stellate Cells	37	0.18183393011222015	0.08108108108108109
GSE115469	ITIH1	Hepatocyte 1	1006	1.9780279881733787	0.8966202783300199
GSE115469	ITIH1	Hepatocyte 2	909	1.7723840202959982	0.8987898789878987
GSE115469	ITIH1	Hepatocyte 3	629	2.218491260501273	0.7376788553259142
GSE115469	ITIH1	Hepatocyte 4	603	3.2169729087680925	0.9436152570480929
GSE115469	ITIH1	Hepatocyte 5	202	2.4375593517676437	0.9554455445544554
GSE115469	ITIH1	Hepatocyte 6	152	0.8412821939901302	0.2631578947368421
GSE115469	ITIH1	Inflammatory Macrophage	813	0.0720521824807845	0.05781057810578106
GSE115469	ITIH1	Mature B Cells	129	0.09666646959245667	0.06201550387596899
GSE115469	ITIH1	NK-like Cells	488	0.07881725689426797	0.06352459016393443
GSE115469	ITIH1	Non-inflammatory Macrophage	379	0.07788770997744437	0.052770448548812667
GSE115469	ITIH1	Periportal LSECs	327	0.06884946453097399	0.0764525993883792
GSE115469	ITIH1	Plasma Cells	511	0.11328362249231619	0.06653620352250489
GSE115469	ITIH1	Portal endothelial Cells	211	0.1184608349444177	0.08530805687203792
GSE115469	ITIH1	alpha-beta T Cells	961	0.07220194500393227	0.045785639958376693
GSE115469	ITIH1	gamma-delta T Cells 1	464	0.09383166157479944	0.05172413793103448
GSE115469	ITIH1	gamma-delta T Cells 2	105	0.06496900007838295	0.0761904761904762
GSE115469	ITIH4	Central venous LSECs	306	0.018421989202109818	0.013071895424836602
GSE115469	ITIH4	Cholangiocytes	119	0.01058468097398261	0.01680672268907563
GSE115469	ITIH4	Erythroid Cells	93	0.1561758287491337	0.03225806451612903
GSE115469	ITIH4	Hepatic Stellate Cells	37	0.0	0.0
GSE115469	ITIH4	Hepatocyte 1	1006	0.23911164431401322	0.2216699801192843
GSE115469	ITIH4	Hepatocyte 2	909	0.17964392602115836	0.18041804180418042
GSE115469	ITIH4	Hepatocyte 3	629	0.9577292619903819	0.356120826709062
GSE115469	ITIH4	Hepatocyte 4	603	0.4735452076095847	0.24378109452736318
GSE115469	ITIH4	Hepatocyte 5	202	0.8833802607980105	0.7178217821782178
GSE115469	ITIH4	Hepatocyte 6	152	0.04684424439543172	0.02631578947368421
GSE115469	ITIH4	Inflammatory Macrophage	813	0.01689474257155978	0.00984009840098401
GSE115469	ITIH4	Mature B Cells	129	0.04587321734243585	0.023255813953488372
GSE115469	ITIH4	NK-like Cells	488	0.01893574036047107	0.014344262295081968
GSE115469	ITIH4	Non-inflammatory Macrophage	379	0.004990422316780191	0.002638522427440633
GSE115469	ITIH4	Periportal LSECs	327	0.011134502446615003	0.009174311926605505
GSE115469	ITIH4	Plasma Cells	511	0.031490194091824866	0.015655577299412915
GSE115469	ITIH4	Portal endothelial Cells	211	0.023159001887692095	0.018957345971563982
GSE115469	ITIH4	alpha-beta T Cells	961	0.012910904733000883	0.008324661810613945
GSE115469	ITIH4	gamma-delta T Cells 1	464	0.018103251683300937	0.008620689655172414
GSE115469	ITIH4	gamma-delta T Cells 2	105	0.00674471032051813	0.01904761904761905
GSE115469	PROS1	Central venous LSECs	306	0.23743077727899053	0.238562091503268
GSE115469	PROS1	Cholangiocytes	119	0.0465269598389874	0.08403361344537816
GSE115469	PROS1	Erythroid Cells	93	0.16067254479213428	0.043010752688172046
GSE115469	PROS1	Hepatic Stellate Cells	37	0.26946320082690267	0.35135135135135137
GSE115469	PROS1	Hepatocyte 1	1006	0.8127390735192043	0.6113320079522863
GSE115469	PROS1	Hepatocyte 2	909	0.8767804142468834	0.6336633663366337
GSE115469	PROS1	Hepatocyte 3	629	0.8792659468794854	0.34181240063593005
GSE115469	PROS1	Hepatocyte 4	603	0.8236955305434775	0.39303482587064675
GSE115469	PROS1	Hepatocyte 5	202	1.038395928348055	0.7871287128712872
GSE115469	PROS1	Hepatocyte 6	152	0.41056480337130397	0.11842105263157894
GSE115469	PROS1	Inflammatory Macrophage	813	0.0371711250820723	0.028290282902829027
GSE115469	PROS1	Mature B Cells	129	0.019161037696424382	0.007751937984496124
GSE115469	PROS1	NK-like Cells	488	0.02668648897135844	0.020491803278688523
GSE115469	PROS1	Non-inflammatory Macrophage	379	0.222779228614943	0.18733509234828497
GSE115469	PROS1	Periportal LSECs	327	0.15428888538014998	0.1926605504587156
GSE115469	PROS1	Plasma Cells	511	0.03498240054353576	0.03522504892367906
GSE115469	PROS1	Portal endothelial Cells	211	0.27533945737856824	0.2890995260663507
GSE115469	PROS1	alpha-beta T Cells	961	0.02676509526964281	0.014568158168574402
GSE115469	PROS1	gamma-delta T Cells 1	464	0.02324547862698292	0.015086206896551725
GSE115469	PROS1	gamma-delta T Cells 2	105	0.007113993167877197	0.01904761904761905
GSE115469	SLC2A2	Central venous LSECs	306	0.03065366969973433	0.032679738562091505
GSE115469	SLC2A2	Cholangiocytes	119	0.2502875123329523	0.35294117647058826
GSE115469	SLC2A2	Erythroid Cells	93	0.005677273196558799	0.010752688172043012
GSE115469	SLC2A2	Hepatic Stellate Cells	37	0.05274909251445049	0.08108108108108109
GSE115469	SLC2A2	Hepatocyte 1	1006	1.3554721094564226	0.8021868787276342
GSE115469	SLC2A2	Hepatocyte 2	909	1.14642020178051	0.7491749174917491
GSE115469	SLC2A2	Hepatocyte 3	629	0.5000513768347723	0.20985691573926868
GSE115469	SLC2A2	Hepatocyte 4	603	1.410222861897293	0.5953565505804311
GSE115469	SLC2A2	Hepatocyte 5	202	1.138578557879618	0.7920792079207921
GSE115469	SLC2A2	Hepatocyte 6	152	1.0915500858896656	0.2894736842105263
GSE115469	SLC2A2	Inflammatory Macrophage	813	0.046515560751324944	0.025830258302583026
GSE115469	SLC2A2	Mature B Cells	129	0.018810851629390272	0.015503875968992248
GSE115469	SLC2A2	NK-like Cells	488	0.031107171637112976	0.02459016393442623
GSE115469	SLC2A2	Non-inflammatory Macrophage	379	0.023269130796744517	0.0316622691292876
GSE115469	SLC2A2	Periportal LSECs	327	0.012235164460056782	0.012232415902140673
GSE115469	SLC2A2	Plasma Cells	511	0.019632139726161024	0.0136986301369863
GSE115469	SLC2A2	Portal endothelial Cells	211	0.005927462007197158	0.009478672985781991
GSE115469	SLC2A2	alpha-beta T Cells	961	0.012989556442066237	0.009365244536940686
GSE115469	SLC2A2	gamma-delta T Cells 1	464	0.038945534362875185	0.01939655172413793
GSE115469	SLC2A2	gamma-delta T Cells 2	105	0.017381722870327177	0.0380952380952381
GSE115469	HRG	Central venous LSECs	306	0.05579082287994085	0.05228758169934641
GSE115469	HRG	Cholangiocytes	119	0.013799226083675353	0.03361344537815126
GSE115469	HRG	Erythroid Cells	93	0.11336938444004264	0.043010752688172046
GSE115469	HRG	Hepatic Stellate Cells	37	0.04260768600412317	0.05405405405405406
GSE115469	HRG	Hepatocyte 1	1006	1.1344390447523673	0.7236580516898609
GSE115469	HRG	Hepatocyte 2	909	0.9272688705601183	0.6468646864686468
GSE115469	HRG	Hepatocyte 3	629	1.4473821386244794	0.5310015898251192
GSE115469	HRG	Hepatocyte 4	603	1.1408827593472861	0.5207296849087893
GSE115469	HRG	Hepatocyte 5	202	1.6481006300390357	0.8613861386138614
GSE115469	HRG	Hepatocyte 6	152	0.5124659973539805	0.16447368421052633
GSE115469	HRG	Inflammatory Macrophage	813	0.05744261480638755	0.04059040590405904
GSE115469	HRG	Mature B Cells	129	0.060214579567428705	0.03875968992248062
GSE115469	HRG	NK-like Cells	488	0.043799573891475554	0.036885245901639344
GSE115469	HRG	Non-inflammatory Macrophage	379	0.06504578695762755	0.06068601583113457
GSE115469	HRG	Periportal LSECs	327	0.023178692166593826	0.021406727828746176
GSE115469	HRG	Plasma Cells	511	0.09437343034229867	0.06653620352250489
GSE115469	HRG	Portal endothelial Cells	211	0.027594267580463988	0.037914691943127965
GSE115469	HRG	alpha-beta T Cells	961	0.05946654518610729	0.037460978147762745
GSE115469	HRG	gamma-delta T Cells 1	464	0.05113242566585541	0.032327586206896554
GSE115469	HRG	gamma-delta T Cells 2	105	0.01908722548257737	0.02857142857142857
GSE115469	KNG1	Central venous LSECs	306	0.10102941125046973	0.08169934640522876
GSE115469	KNG1	Cholangiocytes	119	0.17589247427066834	0.23529411764705882
GSE115469	KNG1	Erythroid Cells	93	0.5770602947281253	0.13978494623655913
GSE115469	KNG1	Hepatic Stellate Cells	37	0.14796074016674146	0.02702702702702703
GSE115469	KNG1	Hepatocyte 1	1006	2.977273047266613	0.9840954274353877
GSE115469	KNG1	Hepatocyte 2	909	2.246327946550644	0.9570957095709571
GSE115469	KNG1	Hepatocyte 3	629	2.8825557628951506	0.8521462639109698
GSE115469	KNG1	Hepatocyte 4	603	3.3830513108033644	0.9552238805970149
GSE115469	KNG1	Hepatocyte 5	202	2.878217108768992	0.9801980198019802
GSE115469	KNG1	Hepatocyte 6	152	3.036005205229709	0.6644736842105263
GSE115469	KNG1	Inflammatory Macrophage	813	0.14232194246804436	0.0984009840098401
GSE115469	KNG1	Mature B Cells	129	0.14183694401452707	0.09302325581395349
GSE115469	KNG1	NK-like Cells	488	0.1362441383668634	0.09836065573770492
GSE115469	KNG1	Non-inflammatory Macrophage	379	0.19296083058719585	0.12928759894459102
GSE115469	KNG1	Periportal LSECs	327	0.11361500374767758	0.12232415902140673
GSE115469	KNG1	Plasma Cells	511	0.23834227041547312	0.15264187866927592
GSE115469	KNG1	Portal endothelial Cells	211	0.13572171118587115	0.10426540284360189
GSE115469	KNG1	alpha-beta T Cells	961	0.14320669372049505	0.09053069719042664
GSE115469	KNG1	gamma-delta T Cells 1	464	0.11972415434389279	0.06465517241379311
GSE115469	KNG1	gamma-delta T Cells 2	105	0.13147932220072972	0.19047619047619047
GSE115469	ADH6	Central venous LSECs	306	0.020419283337842407	0.016339869281045753
GSE115469	ADH6	Cholangiocytes	119	0.028253464137806612	0.06722689075630252
GSE115469	ADH6	Erythroid Cells	93	0.0	0.0
GSE115469	ADH6	Hepatic Stellate Cells	37	0.1696512264174384	0.05405405405405406
GSE115469	ADH6	Hepatocyte 1	1006	1.0032680210459304	0.6868787276341949
GSE115469	ADH6	Hepatocyte 2	909	1.0256233930718912	0.7062706270627063
GSE115469	ADH6	Hepatocyte 3	629	0.20931568803393025	0.10174880763116058
GSE115469	ADH6	Hepatocyte 4	603	1.1059774621999876	0.4975124378109453
GSE115469	ADH6	Hepatocyte 5	202	0.7080008006184408	0.6683168316831684
GSE115469	ADH6	Hepatocyte 6	152	0.7149334600881526	0.2565789473684211
GSE115469	ADH6	Inflammatory Macrophage	813	0.02212441671378498	0.017220172201722016
GSE115469	ADH6	Mature B Cells	129	0.03302535622618919	0.023255813953488372
GSE115469	ADH6	NK-like Cells	488	0.02824003237192748	0.01639344262295082
GSE115469	ADH6	Non-inflammatory Macrophage	379	0.008763173482034326	0.013192612137203167
GSE115469	ADH6	Periportal LSECs	327	0.028585593725927744	0.03669724770642202
GSE115469	ADH6	Plasma Cells	511	0.025207540381211358	0.01761252446183953
GSE115469	ADH6	Portal endothelial Cells	211	0.02067104990095324	0.023696682464454975
GSE115469	ADH6	alpha-beta T Cells	961	0.05062201554023513	0.027055150884495317
GSE115469	ADH6	gamma-delta T Cells 1	464	0.03108785519826001	0.017241379310344827
GSE115469	ADH6	gamma-delta T Cells 2	105	0.008372690422194344	0.02857142857142857
GSE115469	CFI	Central venous LSECs	306	0.1913826415936152	0.1830065359477124
GSE115469	CFI	Cholangiocytes	119	0.32456248591677483	0.4369747899159664
GSE115469	CFI	Erythroid Cells	93	0.07961246018768639	0.021505376344086023
GSE115469	CFI	Hepatic Stellate Cells	37	0.08976310008280985	0.1891891891891892
GSE115469	CFI	Hepatocyte 1	1006	1.5913371376204444	0.8588469184890656
GSE115469	CFI	Hepatocyte 2	909	1.1889165780200686	0.7821782178217822
GSE115469	CFI	Hepatocyte 3	629	1.2754795024429102	0.4642289348171701
GSE115469	CFI	Hepatocyte 4	603	1.6375901757385798	0.6616915422885572
GSE115469	CFI	Hepatocyte 5	202	1.9560838242863665	0.9257425742574258
GSE115469	CFI	Hepatocyte 6	152	1.1714988178328465	0.3355263157894737
GSE115469	CFI	Inflammatory Macrophage	813	0.07320470988823773	0.04059040590405904
GSE115469	CFI	Mature B Cells	129	0.04245990191319192	0.023255813953488372
GSE115469	CFI	NK-like Cells	488	0.052957606364469056	0.0471311475409836
GSE115469	CFI	Non-inflammatory Macrophage	379	0.05888866143679556	0.06068601583113457
GSE115469	CFI	Periportal LSECs	327	0.15463886749489228	0.1926605504587156
GSE115469	CFI	Plasma Cells	511	0.06948358122324991	0.05283757338551859
GSE115469	CFI	Portal endothelial Cells	211	0.20487199254086796	0.2559241706161137
GSE115469	CFI	alpha-beta T Cells	961	0.0477492417926967	0.031217481789802288
GSE115469	CFI	gamma-delta T Cells 1	464	0.04039368328863177	0.02586206896551724
GSE115469	CFI	gamma-delta T Cells 2	105	0.07269617631321862	0.09523809523809523
GSE115469	FGB	Central venous LSECs	306	0.8852048824036044	0.5620915032679739
GSE115469	FGB	Cholangiocytes	119	0.7915433032297287	0.7226890756302521
GSE115469	FGB	Erythroid Cells	93	2.9242720212987674	0.6129032258064516
GSE115469	FGB	Hepatic Stellate Cells	37	0.8003463527640781	0.7027027027027027
GSE115469	FGB	Hepatocyte 1	1006	5.842711481848958	0.9980119284294234
GSE115469	FGB	Hepatocyte 2	909	5.193042463201894	1.0
GSE115469	FGB	Hepatocyte 3	629	7.17978629322992	1.0
GSE115469	FGB	Hepatocyte 4	603	6.2379720258475535	0.9983416252072969
GSE115469	FGB	Hepatocyte 5	202	6.404976469455379	1.0
GSE115469	FGB	Hepatocyte 6	152	6.043584782042001	0.9736842105263158
GSE115469	FGB	Inflammatory Macrophage	813	1.0140493578319913	0.5510455104551045
GSE115469	FGB	Mature B Cells	129	1.0091876195844753	0.4883720930232558
GSE115469	FGB	NK-like Cells	488	0.9466885556695891	0.5450819672131147
GSE115469	FGB	Non-inflammatory Macrophage	379	1.232353381792914	0.6543535620052771
GSE115469	FGB	Periportal LSECs	327	0.7971079590123727	0.617737003058104
GSE115469	FGB	Plasma Cells	511	1.491583975407417	0.7064579256360078
GSE115469	FGB	Portal endothelial Cells	211	0.7741531147776057	0.5734597156398105
GSE115469	FGB	alpha-beta T Cells	961	0.9588809230139055	0.5057232049947971
GSE115469	FGB	gamma-delta T Cells 1	464	1.1128840555661712	0.49353448275862066
GSE115469	FGB	gamma-delta T Cells 2	105	0.6371126453081767	0.6571428571428571
GSE115469	FGA	Central venous LSECs	306	0.6476212130749927	0.4411764705882353
GSE115469	FGA	Cholangiocytes	119	0.9839237271612432	0.8067226890756303
GSE115469	FGA	Erythroid Cells	93	2.008824498102229	0.46236559139784944
GSE115469	FGA	Hepatic Stellate Cells	37	0.7016700635085235	0.5945945945945946
GSE115469	FGA	Hepatocyte 1	1006	5.643105666869677	1.0
GSE115469	FGA	Hepatocyte 2	909	5.470992986387414	1.0
GSE115469	FGA	Hepatocyte 3	629	7.144771086203085	1.0
GSE115469	FGA	Hepatocyte 4	603	6.4213309011253745	1.0
GSE115469	FGA	Hepatocyte 5	202	6.45570184570728	1.0
GSE115469	FGA	Hepatocyte 6	152	4.713366764940713	0.875
GSE115469	FGA	Inflammatory Macrophage	813	0.778748546450927	0.4317343173431734
GSE115469	FGA	Mature B Cells	129	0.7311074100723562	0.35658914728682173
GSE115469	FGA	NK-like Cells	488	0.6689387710123765	0.4139344262295082
GSE115469	FGA	Non-inflammatory Macrophage	379	0.9756360359902747	0.5408970976253298
GSE115469	FGA	Periportal LSECs	327	0.5972496367284647	0.4892966360856269
GSE115469	FGA	Plasma Cells	511	1.0008620732407398	0.5146771037181996
GSE115469	FGA	Portal endothelial Cells	211	0.5854366297405478	0.44549763033175355
GSE115469	FGA	alpha-beta T Cells	961	0.7578282931840878	0.42767950052029136
GSE115469	FGA	gamma-delta T Cells 1	464	0.7503525928176683	0.3706896551724138
GSE115469	FGA	gamma-delta T Cells 2	105	0.6186818789868128	0.6095238095238096
GSE115469	FGG	Central venous LSECs	306	0.7087504269153464	0.4477124183006536
GSE115469	FGG	Cholangiocytes	119	1.204007222998042	0.8319327731092437
GSE115469	FGG	Erythroid Cells	93	1.8758993203281074	0.44086021505376344
GSE115469	FGG	Hepatic Stellate Cells	37	0.4976527787543632	0.40540540540540543
GSE115469	FGG	Hepatocyte 1	1006	5.035806675910002	0.9990059642147118
GSE115469	FGG	Hepatocyte 2	909	4.0559596574739265	0.9988998899889989
GSE115469	FGG	Hepatocyte 3	629	6.761815015007468	1.0
GSE115469	FGG	Hepatocyte 4	603	4.83082053080127	0.9917081260364843
GSE115469	FGG	Hepatocyte 5	202	5.356981640995139	1.0
GSE115469	FGG	Hepatocyte 6	152	5.991545617580414	0.9473684210526315
GSE115469	FGG	Inflammatory Macrophage	813	0.7431023788774732	0.41205412054120544
GSE115469	FGG	Mature B Cells	129	0.6668463820634887	0.3333333333333333
GSE115469	FGG	NK-like Cells	488	0.6890531010070785	0.4344262295081967
GSE115469	FGG	Non-inflammatory Macrophage	379	1.102728960932402	0.5804749340369393
GSE115469	FGG	Periportal LSECs	327	0.5459615652896578	0.42813455657492355
GSE115469	FGG	Plasma Cells	511	1.2649253143650094	0.6340508806262231
GSE115469	FGG	Portal endothelial Cells	211	0.5194302293079159	0.3933649289099526
GSE115469	FGG	alpha-beta T Cells	961	0.7237970936000657	0.39854318418314255
GSE115469	FGG	gamma-delta T Cells 1	464	0.569214167522973	0.28879310344827586
GSE115469	FGG	gamma-delta T Cells 2	105	0.4855907474245344	0.5142857142857142
GSE115469	TDO2	Central venous LSECs	306	0.08281349853362913	0.07516339869281045
GSE115469	TDO2	Cholangiocytes	119	0.3836370550033425	0.33613445378151263
GSE115469	TDO2	Erythroid Cells	93	0.4145999941774594	0.11827956989247312
GSE115469	TDO2	Hepatic Stellate Cells	37	0.09862371151511734	0.13513513513513514
GSE115469	TDO2	Hepatocyte 1	1006	2.288326217924387	0.9403578528827038
GSE115469	TDO2	Hepatocyte 2	909	2.01389567345807	0.9284928492849285
GSE115469	TDO2	Hepatocyte 3	629	2.055029632177186	0.685214626391097
GSE115469	TDO2	Hepatocyte 4	603	1.9584694901113684	0.7213930348258707
GSE115469	TDO2	Hepatocyte 5	202	2.277942934248707	0.905940594059406
GSE115469	TDO2	Hepatocyte 6	152	3.5829129791573475	0.7960526315789473
GSE115469	TDO2	Inflammatory Macrophage	813	0.12315969790479794	0.07134071340713408
GSE115469	TDO2	Mature B Cells	129	0.16253032425577327	0.07751937984496124
GSE115469	TDO2	NK-like Cells	488	0.12055581160744683	0.0860655737704918
GSE115469	TDO2	Non-inflammatory Macrophage	379	0.11815352152079579	0.08443271767810026
GSE115469	TDO2	Periportal LSECs	327	0.11491238072924657	0.11926605504587157
GSE115469	TDO2	Plasma Cells	511	0.09244107994489707	0.07436399217221135
GSE115469	TDO2	Portal endothelial Cells	211	0.15905742347240448	0.12322274881516587
GSE115469	TDO2	alpha-beta T Cells	961	0.1304883870696426	0.08012486992715921
GSE115469	TDO2	gamma-delta T Cells 1	464	0.1839217752988996	0.09051724137931035
GSE115469	TDO2	gamma-delta T Cells 2	105	0.04808726083664667	0.05714285714285714
GSE115469	KLKB1	Central venous LSECs	306	0.018601324336201538	0.0196078431372549
GSE115469	KLKB1	Cholangiocytes	119	0.05857062790574146	0.08403361344537816
GSE115469	KLKB1	Erythroid Cells	93	0.03415254110931068	0.010752688172043012
GSE115469	KLKB1	Hepatic Stellate Cells	37	0.00620759540312999	0.02702702702702703
GSE115469	KLKB1	Hepatocyte 1	1006	0.7794911058593696	0.5705765407554672
GSE115469	KLKB1	Hepatocyte 2	909	0.7448505451380223	0.5621562156215621
GSE115469	KLKB1	Hepatocyte 3	629	0.7078044985928862	0.27821939586645467
GSE115469	KLKB1	Hepatocyte 4	603	1.1376710746616472	0.5257048092868989
GSE115469	KLKB1	Hepatocyte 5	202	0.756417586956874	0.6881188118811881
GSE115469	KLKB1	Hepatocyte 6	152	0.4076482128155859	0.125
GSE115469	KLKB1	Inflammatory Macrophage	813	0.02208026976016468	0.012300123001230012
GSE115469	KLKB1	Mature B Cells	129	0.0	0.0
GSE115469	KLKB1	NK-like Cells	488	0.017214794261533706	0.010245901639344262
GSE115469	KLKB1	Non-inflammatory Macrophage	379	0.0224152478662204	0.010554089709762533
GSE115469	KLKB1	Periportal LSECs	327	0.018899533635614845	0.027522935779816515
GSE115469	KLKB1	Plasma Cells	511	0.04461511870419676	0.023483365949119372
GSE115469	KLKB1	Portal endothelial Cells	211	0.04010837825271191	0.03317535545023697
GSE115469	KLKB1	alpha-beta T Cells	961	0.020649046481089835	0.011446409989594173
GSE115469	KLKB1	gamma-delta T Cells 1	464	0.014917820692062378	0.008620689655172414
GSE115469	KLKB1	gamma-delta T Cells 2	105	0.004264282896405174	0.009523809523809525
GSE115469	C9	Central venous LSECs	306	0.14700233634390864	0.11764705882352941
GSE115469	C9	Cholangiocytes	119	0.07589142387654602	0.11764705882352941
GSE115469	C9	Erythroid Cells	93	0.34944266529493434	0.08602150537634409
GSE115469	C9	Hepatic Stellate Cells	37	0.24064013966031977	0.16216216216216217
GSE115469	C9	Hepatocyte 1	1006	2.7343821918099347	0.9731610337972167
GSE115469	C9	Hepatocyte 2	909	2.599511576826685	0.9746974697469747
GSE115469	C9	Hepatocyte 3	629	3.2068733151273623	0.8712241653418124
GSE115469	C9	Hepatocyte 4	603	3.378950973055256	0.9386401326699834
GSE115469	C9	Hepatocyte 5	202	3.597546309527784	0.9900990099009901
GSE115469	C9	Hepatocyte 6	152	2.3312401430387246	0.5921052631578947
GSE115469	C9	Inflammatory Macrophage	813	0.18760826732839606	0.11316113161131611
GSE115469	C9	Mature B Cells	129	0.13855955951897672	0.07751937984496124
GSE115469	C9	NK-like Cells	488	0.17071562345887795	0.11885245901639344
GSE115469	C9	Non-inflammatory Macrophage	379	0.26271919815710165	0.16094986807387862
GSE115469	C9	Periportal LSECs	327	0.15514755039404657	0.14984709480122324
GSE115469	C9	Plasma Cells	511	0.4156856538250372	0.22700587084148727
GSE115469	C9	Portal endothelial Cells	211	0.13371973714274818	0.10900473933649289
GSE115469	C9	alpha-beta T Cells	961	0.14715608973036695	0.09261186264308012
GSE115469	C9	gamma-delta T Cells 1	464	0.16712455669867582	0.08620689655172414
GSE115469	C9	gamma-delta T Cells 2	105	0.17014666767347428	0.2
GSE115469	GHR	Central venous LSECs	306	0.01679033196829503	0.016339869281045753
GSE115469	GHR	Cholangiocytes	119	0.0012661774619286803	0.008403361344537815
GSE115469	GHR	Erythroid Cells	93	0.02144091744576731	0.021505376344086023
GSE115469	GHR	Hepatic Stellate Cells	37	0.027395247204883677	0.05405405405405406
GSE115469	GHR	Hepatocyte 1	1006	0.4582256479244346	0.37475149105367794
GSE115469	GHR	Hepatocyte 2	909	0.5432427656007941	0.44994499449944997
GSE115469	GHR	Hepatocyte 3	629	0.16235790305751685	0.06995230524642289
GSE115469	GHR	Hepatocyte 4	603	0.4937017034139997	0.27197346600331673
GSE115469	GHR	Hepatocyte 5	202	0.4325308003785587	0.4900990099009901
GSE115469	GHR	Hepatocyte 6	152	0.09643334660090898	0.046052631578947366
GSE115469	GHR	Inflammatory Macrophage	813	0.01337193387020998	0.007380073800738007
GSE115469	GHR	Mature B Cells	129	0.06023683474045391	0.023255813953488372
GSE115469	GHR	NK-like Cells	488	0.0099810356976556	0.004098360655737705
GSE115469	GHR	Non-inflammatory Macrophage	379	0.003790427795500743	0.005277044854881266
GSE115469	GHR	Periportal LSECs	327	0.018584305722414537	0.027522935779816515
GSE115469	GHR	Plasma Cells	511	0.010082906531261138	0.005870841487279843
GSE115469	GHR	Portal endothelial Cells	211	0.01651316994174397	0.02843601895734597
GSE115469	GHR	alpha-beta T Cells	961	0.012082972617104696	0.008324661810613945
GSE115469	GHR	gamma-delta T Cells 1	464	0.009555004280188987	0.00646551724137931
GSE115469	GHR	gamma-delta T Cells 2	105	0.0	0.0
GSE115469	HINT1	Central venous LSECs	306	1.0105610986550648	0.6699346405228758
GSE115469	HINT1	Cholangiocytes	119	1.673829631144259	0.9495798319327731
GSE115469	HINT1	Erythroid Cells	93	1.0892591700758985	0.3655913978494624
GSE115469	HINT1	Hepatic Stellate Cells	37	0.6367112970029986	0.7297297297297297
GSE115469	HINT1	Hepatocyte 1	1006	3.318001071039298	0.9920477137176938
GSE115469	HINT1	Hepatocyte 2	909	3.0838592177045885	0.9823982398239824
GSE115469	HINT1	Hepatocyte 3	629	3.0338142700907915	0.8616852146263911
GSE115469	HINT1	Hepatocyte 4	603	2.0320383989395787	0.7197346600331676
GSE115469	HINT1	Hepatocyte 5	202	2.103440884021249	0.8613861386138614
GSE115469	HINT1	Hepatocyte 6	152	5.2859993451520015	0.9802631578947368
GSE115469	HINT1	Inflammatory Macrophage	813	1.0489311143847555	0.5990159901599016
GSE115469	HINT1	Mature B Cells	129	1.5481722391853037	0.6744186046511628
GSE115469	HINT1	NK-like Cells	488	1.2477453987373681	0.6987704918032787
GSE115469	HINT1	Non-inflammatory Macrophage	379	1.201698531576071	0.6781002638522428
GSE115469	HINT1	Periportal LSECs	327	1.1092163975085687	0.7767584097859327
GSE115469	HINT1	Plasma Cells	511	1.9718282836290721	0.8023483365949119
GSE115469	HINT1	Portal endothelial Cells	211	1.0861313254064857	0.7251184834123223
GSE115469	HINT1	alpha-beta T Cells	961	1.5842962098171263	0.7263267429760666
GSE115469	HINT1	gamma-delta T Cells 1	464	1.1451885132440205	0.5237068965517241
GSE115469	HINT1	gamma-delta T Cells 2	105	1.5529080405121758	0.9238095238095239
GSE115469	HIGD2A	Central venous LSECs	306	0.3100292688978264	0.2777777777777778
GSE115469	HIGD2A	Cholangiocytes	119	0.3953439489382656	0.5210084033613446
GSE115469	HIGD2A	Erythroid Cells	93	0.15130585047506517	0.06451612903225806
GSE115469	HIGD2A	Hepatic Stellate Cells	37	0.30259889082328695	0.43243243243243246
GSE115469	HIGD2A	Hepatocyte 1	1006	0.6842914183974029	0.5417495029821073
GSE115469	HIGD2A	Hepatocyte 2	909	0.6457140055885672	0.5038503850385039
GSE115469	HIGD2A	Hepatocyte 3	629	0.4383215891916915	0.19236883942766295
GSE115469	HIGD2A	Hepatocyte 4	603	0.2912417667026741	0.16086235489220563
GSE115469	HIGD2A	Hepatocyte 5	202	0.4495240888825738	0.49504950495049505
GSE115469	HIGD2A	Hepatocyte 6	152	1.002049816282172	0.34868421052631576
GSE115469	HIGD2A	Inflammatory Macrophage	813	1.0667760502661578	0.6051660516605166
GSE115469	HIGD2A	Mature B Cells	129	0.6249343163745348	0.3178294573643411
GSE115469	HIGD2A	NK-like Cells	488	0.6920459877516403	0.444672131147541
GSE115469	HIGD2A	Non-inflammatory Macrophage	379	0.9485810415568641	0.5699208443271768
GSE115469	HIGD2A	Periportal LSECs	327	0.3542581916493378	0.39143730886850153
GSE115469	HIGD2A	Plasma Cells	511	0.7655500060133271	0.48532289628180036
GSE115469	HIGD2A	Portal endothelial Cells	211	0.29925926079117293	0.3412322274881517
GSE115469	HIGD2A	alpha-beta T Cells	961	0.7613704327365982	0.4578563995837669
GSE115469	HIGD2A	gamma-delta T Cells 1	464	0.671848923995577	0.34913793103448276
GSE115469	HIGD2A	gamma-delta T Cells 2	105	0.7128153319869722	0.6857142857142857
GSE115469	F12	Central venous LSECs	306	0.05816800804699168	0.049019607843137254
