signature	rank	gene	source	doi	source_table
NASH signature	112	HLA-DQA1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	113	GLS	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	114	CLIP4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	115	SERPINE2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
NASH signature	116	EEF1A2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	1	AKR1B10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	2	AEBP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	3	STMN2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	4	CCL19	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	5	EPCAM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	6	DCDC2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	7	ITGBL1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	8	EFEMP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	9	PDZK1IP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	10	CCL21	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	11	PTGDS	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	12	IL32	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	13	LGALS3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	14	THBS2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	15	LOXL4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	16	LUM	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	17	CCL20	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	18	COL1A1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	19	CXCL6	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	20	CXCL10	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	21	CDH11	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	22	SPON1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	23	FXYD2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	24	LAMC3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	25	DPT	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	26	F3	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	27	ANXA13	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	28	CD24	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	29	COL1A2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	30	LGALS4	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	31	TNFRSF12A	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	32	FAP	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	33	SOX9	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	34	EEF1A2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	35	PLP2	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
Fibrosis signature	36	AQP1	He et al. 2023	10.1186/s12967-023-04300-6	Additional file 2 Table S1
